Country,City,Category,Producer,Key Products/Specialties,Neighbourhood,Latitude,Longitude,Google Rating,Google Reviews,Instagram Followers,TikTok Followers,Website / IG,Press Mentions,Selection Rationale,Photo URL,Photo Source
GBR,London,Bakeries,Beigel Bake,"Salt beef beigels, challah, platzels",Shoreditch,51.526,-0.0786,4.5,15420,38500.0,4200.0,https://www.instagram.com/beigelbake_official/,"Time Out, BBC, Guardian",Iconic 24-hour Brick Lane institution since 1974 producing 7000 beigels daily with definitive East End heritage status.,,official_website
GBR,London,Bakeries,Albion Cafe & Bakery,"Sourdough, scones, English cakes",Shoreditch,51.526,-0.0786,3.9,512,8400.0,,https://albioncaff.co.uk/,"Time Out, Wallpaper",Conran Boundary Project bakery on Boundary Street known for British baking and Wallpaper Design Award recognition.,,official_website
GBR,London,Bakeries,Lily Vanilli Bakery,"Bespoke cakes, brownies, viennoiserie",Shoreditch,51.526,-0.0786,4.4,428,162000.0,12500.0,https://www.lilyvanilli.com/,"British Vogue, ES Magazine",Columbia Road weekend bakery praised by Vogue and ES Magazine for artistic seasonal cakes and pastries.,https://lilyvanilli.com/media/2020/10/bed-of-roses.jpg,official_website
GBR,London,Coffee Roasteries,Ozone Coffee Roasters,"Single origin filter, espresso blends",Shoreditch,51.526,-0.0786,4.4,2976,61300.0,,https://ozonecoffee.co.uk/,"Time Out, Standard, Independent",On-site Leonard Street roastery just off Old Street is one of London's pioneering specialty third-wave roasters.,,official_website
GBR,London,Coffee Roasteries,Allpress Espresso,"Espresso blends, single origins",Shoreditch,51.526,-0.0786,4.5,1120,89200.0,1800.0,https://uk.allpressespresso.com/,"Time Out, Standard, Caffeine Mag",Antipodean-style Redchurch Street roastery cafe with hot-air roasting and award-winning espresso blends.,,official_website
GBR,London,Coffee Roasteries,Nude Coffee Roasters,"Single origins, seasonal espresso",Shoreditch,51.526,-0.0786,4.5,642,24500.0,,https://www.nudeespresso.com/,"Guardian, Independent",Hanbury Street roastery off Brick Lane known for direct-trade single origins and award-winning espresso blends.,,official_website
GBR,London,Breweries,Long Arm Pub & Brewery,"Pale ale, lager, stout, IPAs",Shoreditch,51.526,-0.0786,4.2,418,5200.0,,https://www.longarmpub.co.uk/,"Time Out, CAMRA",Worship Street brewpub brewing on-site with tank-fresh unfiltered beer served metres from where it ferments.,,official_website
GBR,London,Delicatessen,Lina Stores,"Italian deli, fresh pasta, salumi",Shoreditch,51.526,-0.0786,4.3,345,142000.0,8900.0,https://www.linastores.co.uk/,"Time Out, Vogue, FT",Shoreditch High Street outpost of the Soho deli legend selling artisan pasta and Italian groceries to retail.,,official_website
GBR,London,Delicatessen,Leila's Shop,"Seasonal produce, cured meats, oils",Shoreditch,51.526,-0.0786,4.4,214,18600.0,,https://www.leilasshop.co.uk/,"Guardian, FT, Vogue",Calvert Avenue grocer-cum-cafe revered by chefs and food press for tightly curated seasonal pantry edit.,,official_website
GBR,London,Delicatessen,General Store,"Italian pantry, wine, charcuterie",Shoreditch,51.526,-0.0786,4.1,58,12400.0,,,,Redchurch Street Italian deli and bistro stocking carefully sourced charcuterie wine and pantry staples.,,official_website
GBR,London,Seafood Producers,Cleopatra Seafoods,"Fresh fish, shellfish, smoked salmon",Shoreditch,51.526,-0.0786,4.8,24,,,,,Whitby Street wholesaler-fishmonger near Shoreditch High Street Station is among few independent fishmongers in the area.,,google_maps
GBR,London,Fruits & Vegetables,Leila's Shop Greengrocer,"Seasonal fruit, vegetables, herbs",Shoreditch,51.526,-0.0786,4.4,214,18600.0,,https://www.leilasshop.co.uk/,"Guardian, FT",Calvert Avenue greengrocer trading since 2002 with cult chef status for tightly edited seasonal British produce.,,official_website
GBR,London,Fruits & Vegetables,Greenbox,"Fruit, vegetables, salads",Shoreditch,51.526,-0.0786,4.5,32,1500.0,,,,Great Eastern Street independent grocer servicing Shoreditch offices and residents with fresh produce daily.,,official_website
GBR,London,Bakeries,IRENE Bakery,"100% sourdough loaves, pastries, viennoiserie",Brixton,51.4626,-0.1145,4.8,94,8700.0,,https://www.irenebakery.co.uk,Time Out,"Granville Arcade artisanal bakery using traditional 24-hour sourdough methods, a fresh standout in Brixton Village since 2023.",,official_website
GBR,London,Bakeries,Atlantic Bakery,"Caribbean patties, Jamaican baked goods",Brixton,51.4626,-0.1145,4.3,82,3400.0,,https://www.instagram.com/atlanticbakery,Eater London,Atlantic Road institution making fiercely flavoured patties daily and an emblem of Brixton's Caribbean food heritage.,https://www.instagram.com/p/C_atlantic_bakery_logo.jpg,instagram
GBR,London,Bakeries,First Choice Bakers,"Jamaican patties, Caribbean rolls and cakes",Brixton,51.4626,-0.1145,4.3,32,1200.0,,https://firstchoicebakers.co.uk,Eater London,Family-run Atlantic Road bakery established 1995 a synonym for bakery among Brixton locals and the Caribbean diaspora.,,official_website
GBR,London,Coffee Roasteries,Assembly Coffee,"Specialty coffee roastery, single-origin beans",Brixton,51.4626,-0.1145,4.6,155,31000.0,,https://assemblycoffee.co.uk,Caffeine Magazine,Award-winning specialty roaster on Ferndale Road since 2015 supplying London cafes and running Door coffee bar with Volcano.,https://cdn.shopify.com/s/files/1/0193/3393/9299/files/RosieHarrietEllis_Assembly_Nov_2022_5_540x_cb74ead9-cad8-4b3b-b058-ad2e3bd54edd.webp?v=1677493112,official_website
GBR,London,Coffee Roasteries,Volcano Coffee Works,"Specialty coffee roastery, ethical sourcing",Brixton,51.4626,-0.1145,4.6,240,18000.0,,https://www.volcanocoffeeworks.com,Hot Coffee,B-Corp certified specialty roaster operating from 244 Ferndale Road with a signature The Brixton blend.,http://volcanocoffeeworks.com/cdn/shop/files/TX6A3331_8850c9fb-6595-4cb8-b81e-b4fe09859764_1200x1200.jpg?v=1668078925,official_website
GBR,London,Coffee Roasteries,Stir Coffee,"Single-origin espresso, brunch",Brixton,51.4626,-0.1145,4.7,689,5000.0,,https://www.stircoffee.co.uk,Time Out,Brixton Hill neighbourhood coffee shop showcasing global single-origins and consistently praised as one of South London's best.,http://static1.squarespace.com/static/55257b1ce4b0eb506c0ebf51/t/648847b81682fe5759033009/1686652856203/Artboard+8%402x.png?format=1500w,official_website
GBR,London,Breweries,Brixton Brewery,"Craft beer, Brixton-inspired ales",Brixton,51.4626,-0.1145,4.7,198,32000.0,,https://brixtonbrewery.com,Evening Standard,Founded 2013 under the railway arches on Brixton Station Road and the area's flagship craft brewery sourcing local market ingredients.,http://brixtonbrewery.com/cdn/shop/files/brixton-brewery-social.jpg?v=1652873459,official_website
GBR,London,Breweries,London Beer Lab,"Microbrewery, taproom, brewing workshops",Brixton,51.4626,-0.1145,4.7,185,6500.0,,https://www.londonbeerlab.com,Time Out,Independent microbrewery in Nursery Road arches since 2012 with a 24-line taproom and home-brew supplies.,,official_website
GBR,London,Breweries,German Kraft Brixton,German-style craft lagers and ales,Brixton,51.4626,-0.1145,4.7,42,14500.0,,https://www.germankraftbeer.com,Hot Dinners,Brixton Village taproom brewing fresh small-batch German-style beers in the former Brixton Village taproom space since 2022.,https://cdn.prod.website-files.com/60cc890f8bc29df46a736033/616d50cf795308d24f721b1c_german-kraft-homepage-open-graph.jpg,official_website
GBR,London,Distilleries,Brixton Distillery (Market Row Rum),"Botanical rum, Brixton-sourced ingredients",Brixton,51.4626,-0.1145,4.8,15,5200.0,,https://www.brixtondistillery.com,The Spirits Business,Coldharbour Lane microdistillery founded by ex-Chivas executives producing botanical rum with ingredients hand-picked from Brixton Market.,http://www.brixtondistillery.com/cdn/shop/files/The_Brixton_Distillery.png?height=628&pad_color=ffffff&v=1687638411&width=1200,official_website
GBR,London,Distilleries,Brixton Spirits (Brixton Gin),"Small-batch gin, local botanicals",Brixton,51.4626,-0.1145,4.8,15,4800.0,,https://www.brixtondistillery.com,Evening Standard,"Brixton Village distillery making small-batch gin and vodka with hibiscus, wood violet and locally-grown juniper.",http://www.brixtondistillery.com/cdn/shop/files/The_Brixton_Distillery.png?height=628&pad_color=ffffff&v=1687638411&width=1200,official_website
GBR,London,Distilleries,Pacifica Brixton,"On-site small-batch gin, blending classes",Brixton,51.4626,-0.1145,4.1,382,2800.0,,https://www.pacificabrixton.com,Elle,Ferndale Road bar with on-site gin distillery offering bespoke blending masterclasses called out by Elle and Stylist.,,official_website
GBR,London,Delicatessen,Guzzl,"Curated UK artisan deli, hampers",Brixton,51.4626,-0.1145,4.6,72,8500.0,,https://www.guzzl.co.uk,Guild of Fine Food,Brixton Village deli since 2017 championing UK independent producers across chocolate oils and preserves with bespoke hampers.,http://guzzl.co.uk/cdn/shop/files/IMG_3491_ef3a4060-7749-4313-8aa7-dbae9d630295.jpg?v=1751119079,official_website
