Name / Handle,Platform,Followers,Content Focus,Key Trend Signals,Example Link
Sophie Macfie / @sophsplantkitchen,Instagram,1620000,High-protein plant-only recipes and lifestyle,"Protein, plant-based meals, functional healthy food",https://www.instagram.com/sophsplantkitchen/?hl=en
Pretty Little London / @prettylittlelondon,Instagram / TikTok,1530000,"London lifestyle, food, travel, “everything pretty”","Broad London dining discovery, drink-led visuals, lifestyle food cues",https://www.instagram.com/prettylittlelondon/?hl=en
Ben Lippett / @dinnerbyben,Instagram,1270000,"Cook, author, Substack","Recipe-led home cooking, condiments, pantry-led dishes",https://www.instagram.com/dinnerbyben/?hl=en
Margie Nomura / @desertislanddishes,Instagram,972200,Weeknight dinners and easy recipes,"Easy dinners, family-friendly cooking, comfort food",https://www.instagram.com/desertislanddishes/?hl=en
Exploring London / @exploringlondon,Instagram,820800,"London guide, pop-ups, veggie food","Trend cafés, pop-ups, veggie-forward food discovery",https://www.instagram.com/exploringlondon/?hl=en
Kelsey Heinrichs / @kelseyinlondon,Instagram,767100,"UK travel guides, hotels, restaurants","Destination-led dining, restaurant discovery",https://www.instagram.com/kelseyinlondon/?hl=en
Aytan Abbasli / @aytanabbasli,Instagram,264100,Travel and lifestyle,"London afternoon tea, premium treats, luxury dining moments",https://www.instagram.com/aytanabbasli/?hl=en
Fab DS / @fab_ds,Instagram / TikTok,222900,Fun experiences and food testing,"London burgers, noodles, food adventures",https://www.instagram.com/fab_ds/?hl=en
Joely Hiles / @feelingtastyy,Instagram,222800,"Recipes, food, lifestyle, travel","Restaurant-led food content, pasta classes, dining roundups",https://www.instagram.com/feelingtastyy/?hl=en
Francesca Cipolla / @pistachioinlondon,Instagram,97900,"London food, travel, recipes","Pistachio desserts, baklava, kunafa, viral dessert formats",https://www.instagram.com/pistachioinlondon/?hl=en
Kate Ovens / @kate.ovens,Instagram,303100,Food challenges,"Hot honey chicken bao, wings, viral snack challenges",https://www.instagram.com/kate.ovens/?hl=en
Sophie London Food Blogger / @dine.with.soph,Instagram,4706,Food blogging in London and Surrey,"Matcha latte, pistachio latte, DabbaDrop, local café discovery",https://www.instagram.com/dine.with.soph/?hl=en
Vicky / @thehungryvicky,Instagram,4900,Menu-led food discovery,"Matcha drinks in Soho, tea spots, café exploration",https://www.instagram.com/thehungryradiographer/?hl=en
Jon The Food Don / @jon_the_food_don,Instagram,99300,"Food reviewing, with a TikTok-heavy audience","Burgers, loaded fries, fast-casual London reviews",https://www.instagram.com/jon_the_food_don/?hl=en
Fat Boi Ldn / @fat_boi_ldn,Instagram / TikTok,92800,"Food blogging, halal-led street food","Halal burger festival, fusion street food, London trader coverage",https://www.instagram.com/fat_boi_ldn/?hl=en
Guy M / @ratatouille_london,Instagram,90300,Good food and restaurant discovery,"Healthy menus, poke bowls, lunch deals, casual dining",https://www.instagram.com/ratatouille_london/?hl=en
Priscilla Da-Silva / @where2eatlondon,Instagram,49400,London food and travel,"Happy hour, lunch deals, date-night spots",https://www.instagram.com/where2eatlondon/?hl=en
Madhura / @coffeeandbrunch_,Instagram,111700,"Brunch, hotels, travel, luxury cafés","Danish pastries, brunch spots, café discovery",https://www.instagram.com/coffeeandbrunch_/?hl=en
Emma Petersen / @thefitlondoner,TikTok,802600,Healthy-ish recipes,"High-protein home cooking, low-faff meals, functional food",https://www.instagram.com/emmapetersen/?hl=en
